,001e0610ba46,001e0610ba15,001e0610ee33,001e0610ee82,001e0610ef27,001e061135cb,001e06113ad8,001e06112e77,001e0610f6db,001e06113107,001e06114fd4,001e0610e539,001e0610f703,001e0610e835,001e0610eef2,001e0610ee43,001e0610f05c,001e0610e537,001e06109416,001e06114503,001e06113dbc,001e061144c0,001e06113cf1,001e06113acb,001e06113f54,001e06114500,001e0610ba13
2018-10-08 04:14:00,,,,,,,,,,,,,,,,,,,,,,,1.08071,,0.04033,,
2018-10-08 04:15:00,,,,,,,,,,,,,,,,,,,,,0.15632,,,,0.8212,,
2018-10-08 04:16:00,,,,,,,,,,,,,,,,,,,,,,,,,0.66395,,
2018-10-08 04:17:00,,,,,,,,,,,,,,,,,,,,,0.00817,,0.96027,,0.71894,,
2018-10-08 04:18:00,,,,,,,,,,,,,,,,,,,,,0.19073,,9.05274,,,,
2018-10-08 04:19:00,,,,,,,,,,,,,,,,,,,,,,,6.68745,,,,
2018-10-08 04:20:00,,,,,,,,,,,,,,,,,,,,,,,0.99157,,,,
2018-10-08 04:21:00,,,,,,,,,,,,,,,,,,,,,0.06824,,5.99812,0.15349,0.0218,0.00338,
2018-10-08 04:22:00,,,,,,,,,,,,,,,,,,,,,,,3.83799,0.18905,,0.47772,
2018-10-08 04:23:00,,,,,,,,,,,,,,,,,,,,,0.06488,,0.64882,,,0.05785,
2018-10-08 04:24:00,,,,,,,,,,,,,,,,,,,,,0.14354,,0.25889,,,,
2018-10-08 04:25:00,,,,,,,,,,,,,,,,,,,,,0.05359,,1.29982,,,0.51154,
2018-10-08 04:26:00,,,,,,,0.30825,,,,,,,,,,,,,,0.05462,,4.89954,,,,
2018-10-08 04:27:00,,,,,,,,,,,,,,,,,,,,,,,3.00823,,,0.00307,
2018-10-08 04:28:00,,,,,,,,,,,,,,,,,,,,,0.02037,,1.78716,0.05139,,,
2018-10-08 04:29:00,,,,,,,,,,,,,,,,,,,,,0.14505,,0.26674,,,,
2018-10-08 04:30:00,,,,,,,,,,,,,,,,,,,,,,,1.39293,0.00895,,0.22859,
2018-10-08 04:31:00,,,,,,,,,,,,,,,,,,,,,,,2.98606,,,,
2018-10-08 04:32:00,,,,,,,,,,,,,,,,,,,,,0.06427,,0.40993,,,,
2018-10-08 04:33:00,,,,,,,,,,,,,,,,,,,,,0.13711,,,,,,
2018-10-08 04:34:00,,,,,,,,,,,,,,,,,,,,,,,0.24032,,,,
2018-10-08 04:35:00,,,,,,,,,,,,,,,,,,,,,0.02806,,0.39394,,,0.47728,
2018-10-08 04:36:00,,,,,,,,,,,,,,,,,,,,,0.18903,,0.87724,,,0.09722,
2018-10-08 04:37:00,,,,,,,,,,,,,,,,,,,,,0.35836,,0.60274,,,,
2018-10-08 04:38:00,,,,,,,,,,,,,,,,,,,,,0.26668,,1.73454,0.01275,,,
2018-10-08 04:39:00,,,,,,,,,,,,,,,,,,,,,0.119,,1.43569,,,,
2018-10-08 04:40:00,,,,,,,,,,,,,,,,,,,,,0.02695,,0.74797,,0.17617,,
2018-10-08 04:41:00,,,,,,,,,,,,,,,,,,,,,0.32168,,0.80615,,,,
2018-10-08 04:42:00,,,,,,,,,,,,,,,,,,,,,0.02016,,1.48043,,,,
2018-10-08 04:43:00,,,,,,,,,,,,,,,,,,,,,0.20017,,2.48113,,,,
2018-10-08 04:44:00,,,,,,,,,,,,,,,,,,,,,,,1.90233,,,,
2018-10-08 04:45:00,,,,,,,,,,,,,,,,,,,,,0.07105,,1.63592,,,,
2018-10-08 04:46:00,,,,,,,,,,,,,,,,,,,,,,,0.91282,,,,
2018-10-08 04:47:00,,,,,,,,,,,,,,,,,,,,,,,0.93346,,,,
2018-10-08 04:48:00,,,,,,,,,,,,,,,,,,,,,0.1164,,1.21479,,,,
2018-10-08 04:49:00,,,,,,,,,,,,,,,,,,,,,,,1.10526,,,0.21701,
2018-10-08 04:50:00,,,,,,,,,,,,,,,,,,,,,,,1.07341,,,,
2018-10-08 04:51:00,,,,,,,,,,,,,,,,,,,,,,,2.33157,,,,
2018-10-08 04:52:00,,,,,,,,,,,,,,,,,,,,,,,1.83846,,0.0334,,
2018-10-08 04:53:00,,0.10632,,,,,,,,,,,,,,,,,,,,,1.69082,,0.11495,,
2018-10-08 04:54:00,,3.92917,,,,,,,,,,,,,,,,,,,,,1.36314,,,,
2018-10-08 04:55:00,,0.49846,,,,,,,,,,,,,,,,,,,,,0.55248,,0.10064,,
2018-10-08 04:56:00,,,,,,,,,,,,,,,,,,,,,,,0.65009,,0.24108,,
2018-10-08 04:57:00,,,,,,,,,,,,,,,,,,,,,,,1.25854,,0.38438,,
2018-10-08 04:58:00,,,,,,,,,,,,,,,,,,,,,,,1.93804,,,,
2018-10-08 04:59:00,,,,,,,,,,,,,,,,,,,,,,,1.29696,,,,
2018-10-08 05:00:00,,,,,,,,,,,,,,,,,,,,,,,0.14464,,,,
2018-10-08 05:01:00,,,,,,,,,,,,,,,,,,,,,,,0.02358,,,,
2018-10-08 05:02:00,,,,,,,,,,,,,,,,,,,,,,,0.39527,,0.41655,,
2018-10-08 05:03:00,,,,,,,,,,,,,,,,,,,,,,,0.976,,0.40373,,
2018-10-08 05:04:00,,,,,,,,,,,,,,,,,,,,,,,1.05164,,0.01722,,
2018-10-08 05:05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 05:06:00,,,,,,,,,,,,,,,,,,,,,,,0.41925,,,,
2018-10-08 05:07:00,,,,,,,,,,,,,,,,,,,,,,,0.75054,,,,
