,001e0610ba46,001e0610ba15,001e0610ee33,001e0610ee82,001e0610ef27,001e061135cb,001e06113ad8,001e06112e77,001e0610f6db,001e06113107,001e06114fd4,001e0610e539,001e0610f703,001e0610e835,001e0610eef2,001e0610ee43,001e0610f05c,001e0610e537,001e06109416,001e06114503,001e06113dbc,001e061144c0,001e06113cf1,001e06113acb,001e06113f54,001e06114500,001e0610ba13
2018-10-08 01:22:00,0.00196,,,,,,0.02016,0.01336,,0.00262,,,,0.01881,,,0.02307,,0.07418,0.00135,,0.0087,0.00398,0.019,,,0.0328
2018-10-08 01:23:00,0.00488,,,,,,0.0087,0.00114,0.00099,0.00442,,,,0.00456,0.00296,,0.02723,,0.06721,0.00479,,0.01623,0.0131,0.01672,0.00917,,0.00336
2018-10-08 01:24:00,,,,,,,0.02263,0.01517,0.0059,0.00368,,,0.00017,,,,0.01131,,0.06352,0.00103,,,0.01238,0.00619,0.00666,,0.02812
2018-10-08 01:25:00,,,,,,,0.01008,0.00559,,0.01186,0.00263,,0.00263,0.00914,,,0.02032,,0.06037,,,0.00264,0.01257,0.02223,0.00366,,0.03225
2018-10-08 01:26:00,0.00291,,,,,,0.0163,,,0.01191,,,0.0112,0.03308,,,0.01383,,0.07207,,,0.01417,0.00652,0.00742,0.00557,,0.02603
2018-10-08 01:27:00,0.00869,,,,,,0.00326,0.00019,,0.00702,,,0.0129,,,,0.02768,,0.07014,0.00115,,0.01091,0.01073,0.01584,0.01228,,
2018-10-08 01:28:00,0.01199,,,,,,0.00456,0.00643,0.00617,0.00482,0.01007,,0.01814,,,,0.02119,,0.05862,,,0.00429,0.00138,0.01984,0.00473,,8e-05
2018-10-08 01:29:00,,,,,,,0.01344,0.00175,,0.00558,0.00164,,0.00034,0.00806,,,0.00489,,0.06402,,,0.00363,0.0212,0.02997,,,
2018-10-08 01:30:00,,,,,,,0.02531,0.0051,,0.00456,,,0.03173,0.03701,0.01036,,0.00262,,0.05698,0.00648,,,0.0112,0.03638,0.00658,,
2018-10-08 01:31:00,0.01784,,,,,,0.00409,,,0.00511,,,0.02033,0.02207,0.00029,,0.00546,,0.05515,,,0.00304,0.00123,0.01098,0.00912,,0.00896
2018-10-08 01:32:00,0.00381,,,,,,0.01699,0.015,0.00019,0.00614,,0.00775,0.01994,0.02354,0.00391,,0.01925,,0.07249,0.00484,,0.00597,0.01527,0.02665,0.00426,,
2018-10-08 01:33:00,0.00288,,,,,,0.00835,,0.01551,0.00812,0.01313,0.02361,0.02011,0.03396,,,0.01308,,0.06187,,,0.00682,0.00592,0.01684,,,
2018-10-08 01:34:00,,,,,,,0.01448,0.00576,0.0169,0.02538,,,0.0178,0.0099,,,0.01124,,0.05924,0.00333,,0.01195,0.00394,0.01533,0.00165,,
2018-10-08 01:35:00,0.00686,,,,,,0.0315,0.00271,0.00123,0.02161,,,0.01133,0.02478,,,0.00843,,0.06753,0.01022,,0.00023,0.00273,0.01872,0.00276,,
2018-10-08 01:36:00,,,,,,,0.01046,,0.00836,0.00855,,,0.01182,0.00346,0.00392,,0.01733,,0.05184,0.00456,,0.01151,0.01286,0.02086,0.0146,,0.01131
2018-10-08 01:37:00,,,,,,,0.00814,0.00721,,0.00216,0.0112,,0.00789,0.0018,0.00104,,0.00814,,0.06486,0.00054,,,0.00958,0.01651,0.00566,,0.00754
2018-10-08 01:38:00,,,,,,,0.00468,,,0.00884,0.00541,,0.01289,0.0229,0.01354,,0.00307,,0.05584,,,0.00624,0.01889,0.00804,0.00854,,0.0128
2018-10-08 01:39:00,0.00151,,,,,,0.01268,,0.00718,0.00725,,0.00428,,,0.01121,,0.00761,,0.05754,0.00242,,0.01034,0.00863,0.02151,0.00132,,0.00378
2018-10-08 01:40:00,,,,,,,0.0218,0.0024,0.00316,0.01704,,,0.00126,0.00453,,,0.01132,,0.04829,0.00511,,0.00855,0.03043,0.01233,0.01491,,
2018-10-08 01:41:00,0.00089,,,,,,0.00464,0.00189,0.002,0.01356,0.00496,,,0.02638,0.01349,,0.01982,,0.08044,,,0.0048,0.02644,0.01218,0.01574,,0.02142
2018-10-08 01:42:00,0.00341,,,,,,0.0109,0.00861,,0.01545,,,,0.00043,0.00166,,0.02666,,0.06038,,,0.01039,0.01731,0.0167,0.01271,,0.02608
2018-10-08 01:43:00,,,,,,,0.01816,,0.0047,,0.00439,,,,,,0.02302,,0.04797,,,0.00322,0.02288,0.04082,0.00537,,0.00603
2018-10-08 01:44:00,,,,,,,0.01345,,0.00423,,0.00434,,,0.00104,0.00511,,0.03279,,0.04877,,,0.00421,0.02192,0.02442,0.00328,,0.02766
2018-10-08 01:45:00,,,,,,,0.00707,,0.00191,,0.00422,,,,0.01234,,0.01844,,0.05912,,,,0.01868,0.01809,0.01323,,
2018-10-08 01:46:00,,,,,,,0.00536,,,0.06986,0.00643,,,0.00679,0.00352,,0.02482,,0.05051,,,0.00821,0.00694,0.00103,0.00214,,
2018-10-08 01:47:00,,,,,,,0.02149,,0.01387,6e-05,,,,,0.00207,,0.0138,,0.05572,,,,0.03296,0.01776,0.00097,,0.00159
2018-10-08 01:48:00,,,,,,,0.00909,0.00286,0.0061,0.00034,0.00678,,,,0.00275,,0.00806,,0.05187,,,0.00157,0.01819,0.01981,,,0.02532
2018-10-08 01:49:00,0.00108,,,,,,0.00221,,0.00542,0.00024,0.01208,,,0.0191,,,0.01069,,0.06336,,,,0.01974,0.03211,0.00802,,0.05417
2018-10-08 01:50:00,,,,,,,0.00893,0.0204,,0.01144,,,,,,,0.02168,,0.0566,,,0.0076,0.02357,0.01924,,,0.01627
2018-10-08 01:51:00,,,,,,,0.00626,0.00104,0.00995,0.00173,0.00611,,0.00287,,0.00705,,0.01337,0.00654,0.04686,,,0.01323,0.01683,0.014,,,0.02178
2018-10-08 01:52:00,,,,,,,0.00992,0.00486,0.00167,0.00711,0.00918,,0.00265,0.0033,0.00971,,0.01905,,0.05783,4e-05,,0.00947,0.01065,0.02492,0.00196,,0.0032
2018-10-08 01:53:00,,,,,,,0.00927,,,0.01049,,0.0033,0.00342,0.01905,,,0.01853,,0.03838,,,,0.01154,0.02786,0.00854,,
